Sentiment,Avg_PnL,Win_Rate,Trade_Count,Avg_Trade_Size
Greed,34.53786207897196,0.370607476635514,21400,5349.7318429906545
Extreme Greed,67.89286133909282,0.46494298859771954,39992,3112.2515645629123
Neutral,54.2903996254993,0.42076750165758364,61837,7816.109930785776
Fear,43.582684352322644,0.3849013099047884,50309,5737.9626623466975
Extreme Fear,34.30771839807886,0.3969909250119408,37686,4782.732661465797
